"No.","Time","Source","Destination","Protocol","Length","Info","OpCode","OpGroup","Bytes"
"50","2024-12-20 19:26:37.506775","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"51","2024-12-20 19:26:37.528503","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"52","2024-12-20 19:26:37.613596","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"53","2024-12-20 19:26:37.640439","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"54","2024-12-20 19:26:37.796414","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"55","2024-12-20 19:26:37.856847","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"56","2024-12-20 19:26:37.857265","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"57","2024-12-20 19:26:37.857749","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"58","2024-12-20 19:26:37.858178","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"59","2024-12-20 19:26:37.932345","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"60","2024-12-20 19:26:38.081020","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"61","2024-12-20 19:26:38.225984","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"62","2024-12-20 19:26:38.234722","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"63","2024-12-20 19:26:38.377208","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"64","2024-12-20 19:26:38.513576","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"65","2024-12-20 19:26:38.720130","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"66","2024-12-20 19:26:38.804761","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"67","2024-12-20 19:26:38.923537","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"68","2024-12-20 19:26:38.945399","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"69","2024-12-20 19:26:39.010955","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"70","2024-12-20 19:26:39.097454","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"71","2024-12-20 19:26:39.180087","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"72","2024-12-20 19:26:39.297960","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"73","2024-12-20 19:26:39.592274","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"74","2024-12-20 19:26:39.595246","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"75","2024-12-20 19:26:39.617840","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"76","2024-12-20 19:26:39.637967","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"77","2024-12-20 19:26:39.638884","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"78","2024-12-20 19:26:39.639760","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"79","2024-12-20 19:26:39.660291","controller","host","HCI_EVT","18","Rcvd LE Meta (LE Advertising Report)","","","3e:0f"
"80","2024-12-20 19:26:39.662008","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"81","2024-12-20 19:26:39.847105","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"82","2024-12-20 19:26:39.887387","controller","host","HCI_EVT","43","Rcvd LE Meta (LE Advertising Report)","","","3e:28"
"83","2024-12-20 19:26:39.888349","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"84","2024-12-20 19:26:39.940103","controller","host","HCI_EVT","23","Rcvd LE Meta (LE Advertising Report)","","","3e:14"
"85","2024-12-20 19:26:39.947603","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","","3e:2b"
"86","2024-12-20 19:26:39.968332","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
