"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"576","2025-01-02 01:27:15.527345","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"578","2025-01-02 01:27:15.533055","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"580","2025-01-02 01:27:15.537926","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"582","2025-01-02 01:27:15.542837","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"584","2025-01-02 01:27:15.547786","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"586","2025-01-02 01:27:15.552791","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"588","2025-01-02 01:27:15.558063","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"590","2025-01-02 01:27:15.563630","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"593","2025-01-02 01:27:15.728129","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"595","2025-01-02 01:27:15.731698","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"597","2025-01-02 01:27:15.734172","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"599","2025-01-02 01:27:16.468679","host","controller","HCI_CMD","7","Sent Disconnect","Link Control Commands","Disconnect","06:04","","","06","","","","","","","","","","","","","","","","","","","",""
"602","2025-01-02 01:29:31.657691","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"604","2025-01-02 01:29:31.710000","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"606","2025-01-02 01:29:31.718537","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"608","2025-01-02 01:29:31.724692","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"610","2025-01-02 01:29:31.730778","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"612","2025-01-02 01:29:31.736078","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"614","2025-01-02 01:29:31.742305","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"616","2025-01-02 01:29:35.366985","host","controller","HCI_CMD","6","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
"618","2025-01-02 01:29:35.381210","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","aa:fe","","","","","","","","","","","","","","","","","","",""
"620","2025-01-02 01:29:35.395632","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"622","2025-01-02 01:29:35.404055","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","f6:ff","","","","","","","","","","","","","","","","","","",""
"624","2025-01-02 01:29:35.408377","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"626","2025-01-02 01:29:35.413194","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","2c:fe","","","","","","","","","","","","","","","","","","",""
"628","2025-01-02 01:29:35.418427","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","40:00","","","","","","","","","","","","","","","","","","",""
"630","2025-01-02 01:29:35.423397","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"632","2025-01-02 01:29:35.428358","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"634","2025-01-02 01:29:35.433303","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"636","2025-01-02 01:29:35.437107","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"638","2025-01-02 01:29:35.443338","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"641","2025-01-02 01:30:44.395891","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"643","2025-01-02 01:30:44.461349","host","controller","HCI_CMD","10","Sent LE Set Random Address","LE Controller Commands","LE Set Random Address","05:20","","","05","1f:50","","","","","","","","","","","","","","","","","","",""
"645","2025-01-02 01:30:44.472610","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"648","2025-01-02 01:32:34.794416","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"650","2025-01-02 01:32:34.886425","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"652","2025-01-02 01:32:34.894516","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"654","2025-01-02 01:32:34.899690","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"656","2025-01-02 01:32:34.905692","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","Vendor-Specific Commands","0x157","57:fd","","","57","","","","","","","","","","","","","","","","","","","",""
