"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"1","2025-01-05 04:09:58.504051","host","controller","HCI_CMD","4","Sent Reset","Host Controller & Baseband Commands","Reset","03:0c","","","03","","","","","","","","","","","","","","","","","","","",""
"2","2025-01-05 04:09:58.512268","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)","","","0e:04","Command Complete","Reset","0e","","","","","","","","","","","","","","","","","","","",""
"3","2025-01-05 04:09:58.512556","host","controller","HCI_CMD","12","Sent Set Event Mask","Host Controller & Baseband Commands","Set Event Mask","01:0c","","","01","ff:ff","","","","","","","","","","","","","","","","","","",""
"4","2025-01-05 04:09:58.514778","controller","host","HCI_EVT","7","Rcvd Command Complete (Set Event Mask)","","","0e:04","Command Complete","Set Event Mask","0e","","","","","","","","","","","","","","","","","","","",""
"5","2025-01-05 04:09:58.515060","host","controller","HCI_CMD","6","Sent Write LE Host Supported","Host Controller & Baseband Commands","Write LE Host Supported","6d:0c","","","6d","","","","","","","","","","","","","","","","","","","",""
"6","2025-01-05 04:09:58.517301","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)","","","0e:04","Command Complete","Write LE Host Supported","0e","","","","","","","","","","","","","","","","","","","",""
"7","2025-01-05 04:09:58.517577","host","controller","HCI_CMD","4","Sent Read Local Name","Host Controller & Baseband Commands","Read Local Name","14:0c","","","14","","","","","","","","","","","","","","","","","","","",""
"8","2025-01-05 04:09:58.519802","controller","host","HCI_EVT","255","Rcvd Command Complete (Read Local Name)","","","0e:fc","Command Complete","Read Local Name","0e","53:50","","","","","","","","","","","","","","","","","","",""
"9","2025-01-05 04:09:58.520036","host","controller","HCI_CMD","4","Sent Read Local Version Information","Informational Parameters","Read Local Version Information","01:10","","","01","","","","","","","","","","","","","","","","","","","",""
"10","2025-01-05 04:09:58.522279","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)","","","0e:0c","Command Complete","Read Local Version Information","0e","09:ff","","","","","","","","","","","","","","","","","","",""
"11","2025-01-05 04:09:58.522523","host","controller","HCI_CMD","4","Sent Read Local Supported Commands","Informational Parameters","Read Local Supported Commands","02:10","","","02","","","","","","","","","","","","","","","","","","","",""
"12","2025-01-05 04:09:58.524756","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)","","","0e:44","Command Complete","Read Local Supported Commands","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"13","2025-01-05 04:09:58.524985","host","controller","HCI_CMD","4","Sent LE Read Local Supported Features","LE Controller Commands","LE Read Local Supported Features","03:20","","","03","","","","","","","","","","","","","","","","","","","",""
"14","2025-01-05 04:09:58.527244","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Local Supported Features)","","","0e:0c","Command Complete","LE Read Local Supported Features","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"15","2025-01-05 04:09:58.527481","host","controller","HCI_CMD","4","Sent LE Read Supported States","LE Controller Commands","LE Read Supported States","1c:20","","","1c","","","","","","","","","","","","","","","","","","","",""
"16","2025-01-05 04:09:58.529835","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Supported States)","","","0e:0c","Command Complete","LE Read Supported States","0e","ff:ff","","","","","","","","","","","","","","","","","","",""
"17","2025-01-05 04:09:58.532565","host","controller","HCI_CMD","5","Sent Read Local Extended Features","Informational Parameters","Read Local Extended Features","04:10","","","04","","","","","","","","","","","","","","","","","","","",""
"18","2025-01-05 04:09:58.534960","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)","","","0e:0e","Command Complete","Read Local Extended Features","0e","00:02","","","","","","","","","","","","","","","","","","",""
"19","2025-01-05 04:09:58.535335","host","controller","HCI_CMD","5","Sent Read Local Extended Features","Informational Parameters","Read Local Extended Features","04:10","","","04","","","","","","","","","","","","","","","","","","","",""
