"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Sub Event","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"30","2024-12-12 15:49:45.860191","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Filter Accept List Size)","","","0e:05","Command Complete","","LE Read Filter Accept List Size","0e","","","","","","","","","","","","","","","","","","","",""
"31","2024-12-12 15:49:45.860359","host","controller","HCI_CMD","4","Sent LE Read Resolving List Size","LE Controller Commands","LE Read Resolving List Size","2a:20","","","","2a","","","","","","","","","","","","","","","","","","","",""
"32","2024-12-12 15:49:45.863599","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Resolving List Size)","","","0e:05","Command Complete","","LE Read Resolving List Size","0e","","","","","","","","","","","","","","","","","","","",""
"33","2024-12-12 15:49:45.863795","host","controller","HCI_CMD","4","Sent LE Read Maximum Data Length","LE Controller Commands","LE Read Maximum Data Length","2f:20","","","","2f","","","","","","","","","","","","","","","","","","","",""
"34","2024-12-12 15:49:45.866288","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Maximum Data Length)","","","0e:0c","Command Complete","","LE Read Maximum Data Length","0e","fb:00","","","","","","","","","","","","","","","","","","",""
"35","2024-12-12 15:49:45.866459","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode","Host Controller & Baseband Commands","Write Simple Pairing Mode","56:0c","","","","56","","","","","","","","","","","","","","","","","","","",""
"36","2024-12-12 15:49:45.868997","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)","","","0e:04","Command Complete","","Write Simple Pairing Mode","0e","","","","","","","","","","","","","","","","","","","",""
"37","2024-12-12 15:49:45.869212","host","controller","HCI_CMD","5","Sent Write Secure Connections Host Support","Host Controller & Baseband Commands","Write Secure Connections Host Support","7a:0c","","","","7a","","","","","","","","","","","","","","","","","","","",""
"38","2024-12-12 15:49:45.871267","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Secure Connections Host Support)","","","0e:04","Command Complete","","Write Secure Connections Host Support","0e","","","","","","","","","","","","","","","","","","","",""
"39","2024-12-12 15:49:45.871469","host","controller","HCI_CMD","4","Sent LE Read Suggested Default Data Length","LE Controller Commands","LE Read Suggested Default Data Length","23:20","","","","23","","","","","","","","","","","","","","","","","","","",""
"40","2024-12-12 15:49:45.873776","controller","host","HCI_EVT","11","Rcvd Command Complete (LE Read Suggested Default Data Length)","","","0e:08","Command Complete","","LE Read Suggested Default Data Length","0e","1b:00","","","","","","","","","","","","","","","","","","",""
"41","2024-12-12 15:49:45.873945","host","controller","HCI_CMD","4","Sent LE Read Maximum Advertising Data Length","LE Controller Commands","LE Read Maximum Advertising Data Length","3a:20","","","","3a","","","","","","","","","","","","","","","","","","","",""
"42","2024-12-12 15:49:45.876247","controller","host","HCI_EVT","9","Rcvd Command Complete (LE Read Maximum Advertising Data Length)","","","0e:06","Command Complete","","LE Read Maximum Advertising Data Length","0e","72:06","","","","","","","","","","","","","","","","","","",""
"43","2024-12-12 15:49:45.876407","host","controller","HCI_CMD","4","Sent LE Read Number of Supported Advertising Sets","LE Controller Commands","LE Read Number of Supported Advertising Sets","3b:20","","","","3b","","","","","","","","","","","","","","","","","","","",""
"44","2024-12-12 15:49:45.878763","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Number of Supported Advertising Sets)","","","0e:05","Command Complete","","LE Read Number of Supported Advertising Sets","0e","","","","","","","","","","","","","","","","","","","",""
"45","2024-12-12 15:49:45.878920","host","controller","HCI_CMD","4","Sent LE Read Periodic Advertiser List Size","LE Controller Commands","LE Read Periodic Advertiser List Size","4a:20","","","","4a","","","","","","","","","","","","","","","","","","","",""
